id_propiedad,tipo_propiedad,ciudad,barrio,habitaciones,tamano_m2,precio_publicado,categoria_propiedad
PROP00001,Departamento,Bogotá,Usaquén,2,79,322670,Residencial
PROP00002,Departamento,Bogotá,Chapinero,4,128,260263,Residencial
PROP00003,Departamento,Bogotá,La Candelaria,3,46,147053,Residencial
PROP00004,Departamento,Bogotá,Rosales,1,172,342540,Residencial
PROP00005,Comercial,Bogotá,Rosales,0,303,1272336,Comercial
PROP00006,Casa,Bogotá,Chicó,3,289,1090851,Residencial
PROP00007,Departamento,Ciudad de México,Condesa,2,149,773499,Residencial
PROP00008,Departamento,Ciudad de México,Reforma,1,133,417974,Residencial
PROP00009,Departamento,Bogotá,Usaquén,1,58,253810,Residencial
PROP00010,Comercial,Bogotá,Zona T,0,141,499203,Comercial
PROP00011,Casa,Ciudad de México,Coyoacán,3,371,1418814,Residencial
PROP00012,Casa,Ciudad de México,Polanco,3,206,997016,Residencial
PROP00013,Departamento,Bogotá,Chapinero,2,91,247773,Residencial
PROP00014,Departamento,Ciudad de México,Condesa,2,116,544510,Residencial
PROP00015,Departamento,Ciudad de México,Santa Fe,2,55,233505,Residencial
PROP00016,Departamento,Ciudad de México,Santa Fe,1,111,542582,Residencial
PROP00017,Departamento,Ciudad de México,Reforma,4,121,634358,Residencial
PROP00018,Departamento,Ciudad de México,Interlomas,2,79,373649,Residencial
PROP00019,Departamento,Ciudad de México,Polanco,2,99,497269,Residencial
PROP00020,Comercial,Bogotá,El Poblado,0,326,1876973,Comercial
PROP00021,Casa,Ciudad de México,Santa Fe,4,355,1030079,Residencial
PROP00022,Departamento,Ciudad de México,Reforma,3,159,819645,Residencial
PROP00023,Departamento,Bogotá,Cedritos,2,162,692030,Residencial
PROP00024,Departamento,Ciudad de México,Santa Fe,2,166,711160,Residencial
PROP00025,Casa,Bogotá,Santa Bárbara,4,295,692531,Residencial
PROP00026,Casa,Bogotá,Zona T,3,379,1368600,Residencial
PROP00027,Casa,Bogotá,La Candelaria,3,143,647266,Residencial
PROP00028,Casa,Ciudad de México,Polanco,3,144,630304,Residencial
PROP00029,Departamento,Ciudad de México,Roma Norte,3,136,335638,Residencial
PROP00030,Departamento,Bogotá,Cedritos,2,158,568394,Residencial
PROP00031,Departamento,Ciudad de México,Del Valle,2,122,537160,Residencial
PROP00032,Departamento,Bogotá,La Candelaria,2,87,214032,Residencial
PROP00033,Casa,Ciudad de México,Roma Norte,6,160,632721,Residencial
PROP00034,Departamento,Ciudad de México,Santa Fe,2,123,560377,Residencial
PROP00035,Departamento,Ciudad de México,Del Valle,3,74,163609,Residencial
PROP00036,Departamento,Ciudad de México,Condesa,1,110,369978,Residencial
PROP00037,Comercial,Bogotá,Usaquén,0,519,3349711,Comercial
PROP00038,Departamento,Ciudad de México,Coyoacán,2,131,577323,Residencial
PROP00039,Casa,Ciudad de México,Condesa,4,368,1341944,Residencial
PROP00040,Departamento,Bogotá,Salitre,3,116,292348,Residencial
PROP00041,Departamento,Ciudad de México,Del Valle,2,117,301486,Residencial
PROP00042,Departamento,Ciudad de México,Interlomas,3,49,225647,Residencial
PROP00043,Casa,Bogotá,La Candelaria,3,200,459160,Residencial
PROP00044,Departamento,Ciudad de México,Polanco,3,69,295993,Residencial
PROP00045,Casa,Ciudad de México,San Ángel,4,301,967756,Residencial
PROP00046,Departamento,Ciudad de México,Reforma,4,166,807871,Residencial
PROP00047,Departamento,Bogotá,Usaquén,2,135,533447,Residencial
PROP00048,Comercial,Bogotá,Cedritos,0,142,728257,Comercial
PROP00049,Departamento,Bogotá,Usaquén,2,155,499169,Residencial
PROP00050,Departamento,Ciudad de México,Reforma,3,66,222897,Residencial
PROP00051,Casa,Ciudad de México,Lomas de Chapultepec,5,242,1433656,Residencial
PROP00052,Departamento,Ciudad de México,Interlomas,2,139,741398,Residencial
PROP00053,Casa,Bogotá,Salitre,3,353,800541,Residencial
PROP00054,Departamento,Bogotá,Zona T,3,85,336009,Residencial
PROP00055,Departamento,Ciudad de México,Santa Fe,2,169,694991,Residencial
PROP00056,Departamento,Ciudad de México,Condesa,1,70,191363,Residencial
PROP00057,Casa,Ciudad de México,Polanco,4,384,1488139,Residencial
PROP00058,Departamento,Ciudad de México,Santa Fe,2,96,441077,Residencial
PROP00059,Casa,Ciudad de México,Lomas de Chapultepec,2,357,1287797,Residencial
PROP00060,Comercial,Ciudad de México,Condesa,0,526,3382373,Comercial
PROP00061,Departamento,Ciudad de México,Santa Fe,1,131,567913,Residencial
PROP00062,Departamento,Bogotá,Usaquén,2,94,409221,Residencial
PROP00063,Departamento,Ciudad de México,Coyoacán,3,149,471544,Residencial
PROP00064,Departamento,Ciudad de México,Lomas de Chapultepec,2,60,169341,Residencial
PROP00065,Departamento,Bogotá,Santa Bárbara,3,179,448360,Residencial
PROP00066,Casa,Bogotá,Salitre,4,219,871340,Residencial
PROP00067,Comercial,Bogotá,Chicó,0,153,929014,Comercial
PROP00068,Comercial,Ciudad de México,Del Valle,0,459,2221600,Comercial
PROP00069,Casa,Bogotá,Salitre,6,157,677917,Residencial
PROP00070,Comercial,Bogotá,Rosales,0,304,1464871,Comercial
PROP00071,Departamento,Ciudad de México,Lomas de Chapultepec,2,68,200665,Residencial
PROP00072,Casa,Bogotá,Usaquén,5,380,1137045,Residencial
PROP00073,Comercial,Ciudad de México,Interlomas,0,280,2419133,Comercial
PROP00074,Departamento,Bogotá,Chicó,3,96,366588,Residencial
PROP00075,Comercial,Ciudad de México,Reforma,0,379,2650168,Comercial
PROP00076,Departamento,Bogotá,Rosales,2,53,117822,Residencial
PROP00077,Casa,Bogotá,Chicó,4,141,342083,Residencial
PROP00078,Casa,Bogotá,Santa Bárbara,3,294,762346,Residencial
PROP00079,Comercial,Ciudad de México,Coyoacán,0,556,3088218,Comercial
PROP00080,Departamento,Ciudad de México,Lomas de Chapultepec,3,156,801028,Residencial
PROP00081,Casa,Bogotá,El Poblado,3,253,1081017,Residencial
PROP00082,Departamento,Ciudad de México,Santa Fe,2,162,532341,Residencial
PROP00083,Departamento,Bogotá,Salitre,2,57,103523,Residencial
PROP00084,Casa,Ciudad de México,Polanco,2,183,914260,Residencial
PROP00085,Departamento,Ciudad de México,Santa Fe,2,152,539074,Residencial
PROP00086,Casa,Ciudad de México,Polanco,3,369,1953302,Residencial
PROP00087,Departamento,Ciudad de México,Del Valle,2,172,524524,Residencial
PROP00088,Departamento,Ciudad de México,Coyoacán,2,116,383115,Residencial
PROP00089,Casa,Ciudad de México,Lomas de Chapultepec,4,294,1669676,Residencial
PROP00090,Departamento,Ciudad de México,Condesa,3,57,155319,Residencial
PROP00091,Departamento,Ciudad de México,Santa Fe,3,100,371107,Residencial
PROP00092,Comercial,Ciudad de México,Interlomas,0,455,2179677,Comercial
PROP00093,Departamento,Ciudad de México,Del Valle,1,178,806202,Residencial
PROP00094,Casa,Ciudad de México,Santa Fe,4,386,1310698,Residencial
PROP00095,Departamento,Ciudad de México,San Ángel,1,119,629593,Residencial
PROP00096,Departamento,Ciudad de México,Coyoacán,3,100,267473,Residencial
PROP00097,Departamento,Bogotá,Santa Bárbara,2,62,206247,Residencial
PROP00098,Departamento,Bogotá,Chicó,1,144,290545,Residencial
PROP00099,Departamento,Bogotá,La Candelaria,1,102,443628,Residencial
PROP00100,Departamento,Bogotá,Chicó,3,84,201776,Residencial
PROP00101,Departamento,Bogotá,Rosales,2,144,432731,Residencial
PROP00102,Departamento,Ciudad de México,Reforma,3,93,337262,Residencial
PROP00103,Departamento,Ciudad de México,Reforma,2,119,511810,Residencial
PROP00104,Departamento,Ciudad de México,Lomas de Chapultepec,2,93,461888,Residencial
PROP00105,Departamento,Bogotá,Zona T,2,65,235966,Residencial
PROP00106,Comercial,Ciudad de México,Coyoacán,0,309,1489108,Comercial
PROP00107,Casa,Ciudad de México,Interlomas,4,344,1942238,Residencial
PROP00108,Casa,Ciudad de México,Coyoacán,5,133,603739,Residencial
PROP00109,Departamento,Bogotá,Salitre,1,121,398919,Residencial
PROP00110,Comercial,Ciudad de México,Santa Fe,0,518,3279605,Comercial
PROP00111,Casa,Ciudad de México,Roma Norte,4,390,1565803,Residencial
PROP00112,Casa,Ciudad de México,Reforma,4,335,1994123,Residencial
PROP00113,Departamento,Ciudad de México,San Ángel,3,72,249197,Residencial
PROP00114,Comercial,Ciudad de México,Condesa,0,464,3687645,Comercial
PROP00115,Casa,Ciudad de México,Polanco,4,203,604560,Residencial
PROP00116,Casa,Ciudad de México,Condesa,3,137,794826,Residencial
PROP00117,Departamento,Ciudad de México,Roma Norte,3,144,405210,Residencial
PROP00118,Departamento,Ciudad de México,Roma Norte,2,49,150466,Residencial
PROP00119,Departamento,Bogotá,Cedritos,2,176,509373,Residencial
PROP00120,Departamento,Bogotá,Zona T,2,174,644388,Residencial
PROP00121,Casa,Bogotá,Usaquén,2,241,916437,Residencial
PROP00122,Departamento,Bogotá,Cedritos,3,167,489617,Residencial
PROP00123,Departamento,Bogotá,Cedritos,4,104,411275,Residencial
PROP00124,Departamento,Bogotá,Zona T,2,172,336549,Residencial
PROP00125,Departamento,Ciudad de México,San Ángel,3,130,460532,Residencial
PROP00126,Departamento,Bogotá,El Poblado,2,118,503943,Residencial
PROP00127,Casa,Bogotá,La Candelaria,3,198,527749,Residencial
PROP00128,Departamento,Ciudad de México,Reforma,2,78,381962,Residencial
PROP00129,Departamento,Ciudad de México,Polanco,2,119,470486,Residencial
PROP00130,Departamento,Ciudad de México,Condesa,3,160,651086,Residencial
PROP00131,Departamento,Ciudad de México,Reforma,3,48,255153,Residencial
PROP00132,Departamento,Bogotá,La Candelaria,2,136,494876,Residencial
PROP00133,Casa,Bogotá,Salitre,4,287,1203318,Residencial
PROP00134,Casa,Bogotá,Usaquén,3,188,740391,Residencial
PROP00135,Casa,Bogotá,La Candelaria,4,249,856053,Residencial
PROP00136,Casa,Bogotá,Cedritos,3,226,659158,Residencial
PROP00137,Departamento,Ciudad de México,Roma Norte,2,48,180289,Residencial
PROP00138,Comercial,Bogotá,Santa Bárbara,0,327,1274836,Comercial
PROP00139,Casa,Bogotá,Chapinero,5,189,551279,Residencial
PROP00140,Comercial,Bogotá,La Candelaria,0,342,1203667,Comercial
PROP00141,Departamento,Ciudad de México,Reforma,3,80,356166,Residencial
PROP00142,Comercial,Bogotá,Chicó,0,123,588330,Comercial
PROP00143,Casa,Bogotá,El Poblado,3,253,571022,Residencial
PROP00144,Casa,Bogotá,Usaquén,3,205,902770,Residencial
PROP00145,Departamento,Bogotá,La Candelaria,3,153,478586,Residencial
