id_venta,fecha_venta,id_cliente,id_propiedad,ciudad,precio_venta,tipo_propiedad,canal_venta,porcentaje_comision,monto_comision
SALE000001,2024-01-05,CUST02497,PROP03591,Bogotá,1027126,Casa,Corredor,0.0473,48605
SALE000002,2024-06-16,CUST02903,PROP03005,Ciudad de México,233363,Departamento,Corredor,0.0458,10681
SALE000003,2024-10-13,CUST00831,PROP04661,Bogotá,209704,Departamento,Directo,0.0151,3156
SALE000004,2023-02-08,CUST01686,PROP06300,Bogotá,224411,Departamento,Corredor,0.038,8523
SALE000005,2024-11-29,CUST00639,PROP00792,Ciudad de México,192007,Departamento,Directo,0.0159,3054
SALE000006,2023-02-11,CUST00900,PROP00503,Ciudad de México,1329571,Casa,Directo,0.0155,20546
SALE000007,2023-07-13,CUST02807,PROP03893,Ciudad de México,921185,Casa,Directo,0.0189,17382
SALE000008,2023-12-31,CUST03356,PROP04877,Ciudad de México,699350,Departamento,Corredor,0.0495,34591
SALE000009,2023-03-01,CUST00620,PROP04430,Bogotá,1198695,Casa,Directo,0.0193,23147
SALE000010,2023-01-14,CUST01132,PROP04587,Bogotá,559747,Departamento,Directo,0.0177,9896
SALE000011,2023-09-20,CUST00469,PROP05727,Bogotá,350311,Departamento,Directo,0.0141,4923
SALE000012,2024-12-24,CUST01447,PROP06472,Ciudad de México,302166,Departamento,Corredor,0.0452,13666
SALE000013,2023-09-23,CUST01894,PROP02049,Ciudad de México,2903088,Comercial,Directo,0.0178,51671
SALE000014,2024-04-16,CUST01569,PROP05480,Bogotá,590145,Departamento,Corredor,0.0334,19710
SALE000015,2023-10-22,CUST01732,PROP02675,Ciudad de México,335280,Departamento,Corredor,0.0464,15550
SALE000016,2024-03-11,CUST02860,PROP03409,Bogotá,177853,Departamento,Corredor,0.0482,8580
SALE000017,2024-05-05,CUST01464,PROP07721,Bogotá,1283426,Comercial,Directo,0.0175,22476
SALE000018,2023-08-01,CUST00424,PROP02235,Ciudad de México,241718,Departamento,Directo,0.0168,4063
SALE000019,2023-06-10,CUST03016,PROP06413,Bogotá,564233,Departamento,Corredor,0.0344,19382
SALE000020,2023-02-20,CUST03101,PROP04022,Bogotá,290257,Departamento,Corredor,0.0428,12409
